Year,Team,name_last,name_first,RetroID,G,GS,Outs,IP,R,ER,ERA,W,L,SV,PA,AB,H,DB,TP,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,TB,GDP,HBP,SH,SF,IBB,PlatoonStats,PctVsLHP,AVG_L,OBP_L,SLG_L,PA_L,AB_L,H_L,DB_L,TP_L,HR_L,RBI_L,BB_L,SO_L,TB_L,GDP_L,HBP_L,SH_L,SF_L,IBB_L,AVG_R,OBP_R,SLG_R,PA_R,AB_R,H_R,DB_R,TP_R,HR_R,RBI_R,BB_R,SO_R,TB_R,GDP_R,HBP_R,SH_R,SF_R,IBB_R,Baserunning,SB,CS,SBPct,SBO,JumpPct,SB2,CS2,SB3,CS3,SBH,CSH,PkO,POCS
1987,BOS,Bolton,Tom,boltt001,29,0,185,61.2,33,30,4.38,1,0,0,287,251,83,11,1,5,39,4,3,27,49,0.331,0.396,0.442,111,8,2,3,3,2,,39,0.33,0.414,0.423,112,97,32,4,1,1,19,13,22,41,2,1,1,0,1,0.331,0.384,0.455,175,154,51,7,0,4,20,14,27,70,6,1,2,3,1,,4,3,57.1,128,5.47,3,3,1,0,0,0,3,0
1987,BOS,Boyd,Oil Can,boydo001,7,7,110,36.2,31,24,5.89,1,3,0,167,148,47,7,4,6,30,3,2,9,12,0.318,0.358,0.541,80,3,2,4,3,1,,57,0.279,0.312,0.477,95,86,24,5,3,2,15,5,10,41,2,0,1,2,1,0.371,0.42,0.629,72,62,23,2,1,4,15,4,2,39,1,2,3,1,0,,3,2,60,59,8.47,3,2,0,0,0,0,2,0
1987,BOS,Clemens,Roger,clemr001,36,36,845,281.2,100,93,2.97,20,9,0,1157,1055,248,52,5,19,91,26,14,83,256,0.235,0.295,0.348,367,14,9,6,4,4,,58,0.238,0.301,0.335,669,609,145,35,3,6,55,50,134,204,5,6,1,3,2,0.231,0.288,0.365,488,446,103,17,2,13,36,33,122,163,9,3,5,1,2,,26,14,65,431,9.28,25,13,1,1,0,0,14,1
1987,BOS,Crawford,Steve,craws001,29,0,218,72.2,48,43,5.33,5,4,0,324,290,91,20,1,13,56,3,1,32,43,0.314,0.386,0.524,152,14,2,0,0,2,,46,0.333,0.405,0.538,148,132,44,9,0,6,21,16,17,71,2,0,0,0,0,0.297,0.369,0.513,176,158,47,11,1,7,35,16,26,81,12,2,0,0,2,,3,1,75,137,2.92,2,1,0,0,1,0,1,0
1987,BOS,Gardner,Wes,gardw001,49,1,269,89.2,55,54,5.42,3,6,10,401,351,98,24,0,17,57,0,1,42,70,0.279,0.358,0.493,173,8,2,4,2,7,,48,0.313,0.411,0.546,193,163,51,14,0,8,30,28,29,89,2,0,1,1,5,0.25,0.307,0.447,208,188,47,10,0,9,27,14,41,84,6,2,3,1,2,,0,1,0,168,0.6,0,1,0,0,0,0,1,0
1987,BOS,Hurst,Bruce,hursb001,33,33,716,238.2,124,117,4.41,15,13,0,1001,911,239,44,3,35,110,18,10,76,190,0.262,0.317,0.432,394,28,1,5,8,5,,15,0.246,0.331,0.415,149,130,32,10,0,4,19,16,33,54,3,1,1,1,0,0.265,0.315,0.435,852,781,207,34,3,31,91,60,157,340,25,0,4,7,5,,18,10,64.3,345,8.12,12,9,6,0,0,1,10,4
1987,BOS,Leister,John,leisj001,8,6,91,30.1,31,31,9.2,0,2,0,146,133,49,7,0,9,27,4,2,12,16,0.368,0.418,0.624,83,3,0,0,1,1,,51,0.309,0.36,0.456,75,68,21,4,0,2,9,6,7,31,0,0,0,1,1,0.431,0.479,0.8,71,65,28,3,0,7,18,6,9,52,3,0,0,0,0,,4,2,66.7,65,9.23,3,0,1,2,0,0,2,0
1987,BOS,Nipper,Al,nippa001,30,30,522,174,115,105,5.43,11,12,0,777,691,196,46,6,30,102,22,5,62,89,0.284,0.345,0.498,344,12,7,8,9,1,,54,0.268,0.321,0.469,417,377,101,20,4,16,53,28,44,177,7,4,3,5,1,0.303,0.372,0.532,360,314,95,26,2,14,49,34,45,167,5,3,5,4,0,,22,5,81.5,278,9.71,19,4,3,1,0,0,5,0
1987,BOS,Sambito,Joe,sambj001,47,0,113,37.2,29,29,6.93,2,6,0,171,153,46,8,2,8,28,0,2,16,35,0.301,0.367,0.536,82,1,0,2,0,3,,50,0.241,0.286,0.392,85,79,19,4,1,2,11,5,23,31,1,0,1,0,0,0.365,0.447,0.689,86,74,27,4,1,6,17,11,12,51,0,0,1,0,3,,0,2,0,71,2.82,0,1,0,0,0,1,2,1
1987,BOS,Schiraldi,Calvin,schic001,61,1,251,83.2,45,41,4.41,8,5,6,361,313,75,12,0,15,56,13,5,40,93,0.24,0.326,0.422,132,2,1,5,2,5,,48,0.28,0.39,0.51,174,143,40,6,0,9,35,27,33,73,1,0,2,2,3,0.206,0.266,0.347,187,170,35,6,0,6,21,13,60,59,1,1,3,0,2,,13,5,72.2,172,10.47,11,4,2,0,0,1,5,0
